id	year	state	food_cost	insurance_cost	healthcare_cost	housing_cost	transportation_cost	other_cost	state_tax_rate	pop	fica_tax_rate	federal_income_tax_rate	rate
5063	2014	AR	3035.97176684	962.0	2528.38639087	5052	3965.86916832	2195.29056463	0.00025	36647.0	0.0765	0.0534	20048.3161441
5065	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	13696.0	0.0765	0.0534	19966.9453441
5067	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	17997.0	0.0765	0.0534	19966.9453441
5069	2014	AR	3035.97176684	962.0	2528.38639087	5868	3965.86916832	2195.29056463	0.00025	77435.0	0.0765	0.0534	20970.5185441
5071	2014	AR	3035.97176684	962.0	2528.38639087	5184	3965.86916832	2195.29056463	0.00025	25540.0	0.0765	0.0534	20197.4959441
5073	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	7645.0	0.0765	0.0534	19966.9453441
5075	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	17415.0	0.0765	0.0534	19966.9453441
5077	2014	AR	3035.97176684	962.0	2528.38639087	5676	3965.86916832	2195.29056463	0.00025	10424.0	0.0765	0.0534	20753.5297441
5079	2014	AR	3035.97176684	962.0	2528.38639087	5868	3965.86916832	2195.29056463	0.00025	14134.0	0.0765	0.0534	20970.5185441
5081	2014	AR	3035.97176684	962.0	2528.38639087	5496	3965.86916832	2195.29056463	0.00025	13171.0	0.0765	0.0534	20550.1027441
5083	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	22353.0	0.0765	0.0534	19966.9453441
5085	2014	AR	3035.97176684	962.0	2528.38639087	7380	3965.86916832	2195.29056463	0.00025	68356.0	0.0765	0.0534	22679.3053441
5087	2014	AR	3035.97176684	962.0	2528.38639087	6396	3965.86916832	2195.29056463	0.00025	15717.0	0.0765	0.0534	21567.2377441
5089	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	16653.0	0.0765	0.0534	19966.9453441
5091	2014	AR	3035.97176684	962.0	2528.38639087	6876	3965.86916832	2195.29056463	0.00025	43462.0	0.0765	0.0534	22109.7097441
5093	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	46480.0	0.0765	0.0534	19966.9453441
5095	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	8149.0	0.0765	0.0534	19966.9453441
5097	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	9487.0	0.0765	0.0534	19966.9453441
5099	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	8997.0	0.0765	0.0534	19966.9453441
5101	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	8330.0	0.0765	0.0534	19966.9453441
5103	2014	AR	3035.97176684	962.0	2528.38639087	5220	3965.86916832	2195.29056463	0.00025	26120.0	0.0765	0.0534	20238.1813441
5105	2014	AR	3035.97176684	962.0	2528.38639087	7380	3965.86916832	2195.29056463	0.00025	10445.0	0.0765	0.0534	22679.3053441
5107	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	21757.0	0.0765	0.0534	19966.9453441
5109	2014	AR	3035.97176684	962.0	2528.38639087	5148	3965.86916832	2195.29056463	0.00025	11291.0	0.0765	0.0534	20156.8105441
5111	2014	AR	3035.97176684	962.0	2528.38639087	5148	3965.86916832	2195.29056463	0.00025	24583.0	0.0765	0.0534	20156.8105441
5113	2014	AR	3035.97176684	962.0	2528.38639087	5196	3965.86916832	2195.29056463	0.00025	20662.0	0.0765	0.0534	20211.0577441
5115	2014	AR	3035.97176684	962.0	2528.38639087	5280	3965.86916832	2195.29056463	0.00025	61754.0	0.0765	0.0534	20305.9903441
5117	2014	AR	3035.97176684	962.0	2528.38639087	5676	3965.86916832	2195.29056463	0.00025	8715.0	0.0765	0.0534	20753.5297441
5119	2014	AR	3035.97176684	962.0	2528.38639087	7380	3965.86916832	2195.29056463	0.00025	382748.0	0.0765	0.0534	22679.3053441
5121	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	17969.0	0.0765	0.0534	19966.9453441
5123	2014	AR	3035.97176684	962.0	2528.38639087	5676	3965.86916832	2195.29056463	0.00025	28258.0	0.0765	0.0534	20753.5297441
5125	2014	AR	3035.97176684	962.0	2528.38639087	7380	3965.86916832	2195.29056463	0.00025	107118.0	0.0765	0.0534	22679.3053441
5127	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	11233.0	0.0765	0.0534	19966.9453441
5129	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	8195.0	0.0765	0.0534	19966.9453441
5131	2014	AR	3035.97176684	962.0	2528.38639087	5496	3965.86916832	2195.29056463	0.00025	125744.0	0.0765	0.0534	20550.1027441
5133	2014	AR	3035.97176684	962.0	2528.38639087	5340	3965.86916832	2195.29056463	0.00025	17058.0	0.0765	0.0534	20373.7993441
5135	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	17264.0	0.0765	0.0534	19966.9453441
5137	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	12394.0	0.0765	0.0534	19966.9453441
5139	2014	AR	3035.97176684	962.0	2528.38639087	5496	3965.86916832	2195.29056463	0.00025	41639.0	0.0765	0.0534	20550.1027441
5141	2014	AR	3035.97176684	962.0	2528.38639087	5676	3965.86916832	2195.29056463	0.00025	17295.0	0.0765	0.0534	20753.5297441
5143	2014	AR	3035.97176684	962.0	2528.38639087	6396	3965.86916832	2195.29056463	0.00025	203065.0	0.0765	0.0534	21567.2377441
5145	2014	AR	3035.97176684	962.0	2528.38639087	5184	3965.86916832	2195.29056463	0.00025	77076.0	0.0765	0.0534	20197.4959441
5147	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	7260.0	0.0765	0.0534	19966.9453441
5149	2014	AR	3035.97176684	962.0	2528.38639087	4980	3965.86916832	2195.29056463	0.00025	22185.0	0.0765	0.0534	19966.9453441
6001	2014	CA	3623.57920559	1134.0	2528.38639087	15060	3965.86916832	2195.29056463	0.0002	1510271.0	0.0765	0.0534	32215.9023348
6003	2014	CA	3623.57920559	1134.0	2528.38639087	8100	3965.86916832	2195.29056463	0.0002	1175.0	0.0765	0.0534	24350.4063348
6005	2014	CA	3623.57920559	1134.0	2528.38639087	9300	3965.86916832	2195.29056463	0.0002	38091.0	0.0765	0.0534	25706.5263348
6007	2014	CA	3623.57920559	1134.0	2528.38639087	7752	3965.86916832	2195.29056463	0.0002	220000.0	0.0765	0.0534	23957.1315348
